Mode,Frequency_(cm-1),Irrep,Intensity
1- 1,0.0,B2,0.0
2- 2,0.0,B1,0.0
3- 3,0.0,A1,0.0
4- 4,53.0541,B1,102.86
5- 5,70.7967,A1,20.57
7- 7,90.0552,B1,35.92
8- 8,99.8441,A1,10.78
9- 9,120.3016,B2,1.37
11- 11,144.0903,A1,71.22
12- 12,155.406,B1,42.4
13- 13,168.0137,A1,149.79
14- 14,174.9738,B1,0.36
15- 15,186.4729,B2,387.73
16- 16,191.5524,A1,8.65
17- 17,191.8149,B1,11.16
19- 19,203.1273,A1,71.4
20- 20,206.5089,B2,397.62
22- 22,236.563,B1,198.89
23- 23,256.647,A1,81.33
25- 25,262.7848,B1,56.26
26- 26,266.9524,B2,46.28
27- 27,289.7457,A1,264.24
28- 28,312.8848,A1,19.72
29- 29,326.617,B1,75.67
31- 31,363.64,B2,75.93
32- 32,370.9165,B1,155.3
33- 33,420.9185,B1,53.94
34- 34,436.6738,A1,69.9
35- 35,450.6926,A1,74.89
36- 36,491.898,B1,39.78
