Mode,Frequency_(cm-1),Irrep,I_tot,I_par,I_perp
4- 4,53.0541,B1,298.56,170.61,127.96
5- 5,70.7967,A1,84.9,59.71,25.18
6- 6,82.8046,A2,1.54,0.88,0.66
7- 7,90.0552,B1,215.2,122.97,92.23
8- 8,99.8441,A1,147.14,97.69,49.44
9- 9,120.3016,B2,46.89,26.8,20.1
10- 10,124.2302,A2,29.79,17.02,12.77
11- 11,144.0903,A1,232.82,134.22,98.6
12- 12,155.406,B1,79.99,45.71,34.28
13- 13,168.0137,A1,420.95,264.0,156.95
14- 14,174.9738,B1,48.97,27.98,20.99
15- 15,186.4729,B2,6.77,3.87,2.9
16- 16,191.5524,A1,418.98,310.62,108.36
17- 17,191.8149,B1,1.59,0.91,0.68
18- 18,192.3148,A2,276.64,158.08,118.56
19- 19,203.1273,A1,113.55,64.91,48.64
20- 20,206.5089,B2,45.82,26.18,19.64
21- 21,212.4292,A2,102.53,58.59,43.94
22- 22,236.563,B1,0.96,0.55,0.41
23- 23,256.647,A1,87.07,73.28,13.8
24- 24,260.5357,A2,28.08,16.04,12.03
25- 25,262.7848,B1,2.4,1.37,1.03
26- 26,266.9524,B2,1000.0,571.43,428.57
27- 27,289.7457,A1,216.42,128.71,87.71
28- 28,312.8848,A1,298.31,197.97,100.34
29- 29,326.617,B1,12.26,7.0,5.25
30- 30,349.0595,A2,3.11,1.78,1.33
31- 31,363.64,B2,2.31,1.32,0.99
32- 32,370.9165,B1,93.61,53.49,40.12
33- 33,420.9185,B1,5.32,3.04,2.28
34- 34,436.6738,A1,416.05,413.31,2.74
35- 35,450.6926,A1,53.9,33.81,20.08
36- 36,491.898,B1,0.33,0.19,0.14
