formula,pointgroup,sg_number,pearson,category,delta_h,rms_dist,max_dist,delta_e
LiFe2F6,4mm,102,tP18,FE_I,0.0317267378577525,0.0335158806190289,0.0519484445705323,0.0359
K2Mn2Be3F12,2,4,oP76,FE_I,0.000101562918644,0.175032978790604,0.481394364500033,0.0135
CsPbF3,3m,161,hR30,FE_I,0.0025038475423571,0.0565754434494539,0.0686285400800665,0.0029
BeH8_NF2_2,mm2,33,oP60,FE_I,0.0001002971785055,0.1787,0.3185,0.1053
Fe3Pb5F19,4mm,108,tI108,FE_I,0.0308969014386093,0.240582623174805,0.317818480693632,0.0444
Al3Pb5F19,4mm,108,tI108,FE_I,0.0186886737474196,0.217224402048233,0.294803220190055,0.0262
Ga3Pb5F19,4mm,108,tI108,FE_I,0.0266588353642873,0.23393872612824,0.310160455415435,0.0386
BaCuF4,mm2,36,oS24,FE_I,0.0070195716471062,0.106811503306478,0.204702101002595,0.0084
SrMgF4,mm2,36,oS24,FE_I,0.041256357311795,0.179035211201248,0.313997960188574,0.0368
BaNiF4,mm2,36,oS24,FE_I,0.0136898806158569,0.132520768383612,0.246307624258607,0.0167
BaMgF4,mm2,36,oS24,FE_I,0.0156845999467805,0.138805487919817,0.250249381938221,0.017
BaFeF4,mm2,36,oS24,FE_I,0.0327184538055007,0.155044746894766,0.317438606152253,0.0223
SrNiF4,mm2,36,oS24,FE_I,0.0472618581025017,0.176500146587095,0.315832184486558,0.0457
BaCoF4,mm2,36,oS24,FE_I,0.0184444762489874,0.148086659861399,0.264903296111046,0.023
BaZnF4,mm2,36,oS24,FE_I,0.0186377008976705,0.144024496710193,0.269311155770285,0.0247
BaMnF4,mm2,36,oS24,FE_I,0.0397505426908537,0.176712920059993,0.332871309572456,0.0412
Rb2NaAl6F21,2,5,hR90,FE_II,0.0002789929008031,0.0623260208040949,0.103354443294629,0.0003
Mn3F8,2,4,mP22,FE_II,0.0427520130160701,0.0500778689290088,0.0840058327020965,0.0431
MnF4,3m,161,cI240,FE_II,0.0151908107964118,0.218024162155438,0.255026355860608,0.1216
NaSrAlF6,mm2,33,oP36,FE_II,0.0047586030750608,0.127505848620994,0.237830974632267,0.0125
KNaSnF6,mm2,33,oP36,FE_II,0.0122702588168976,0.190373926025853,0.32960179224235,0.037
RbCrF5,mm2,26,oP28,FE_II,0.0228032811328375,0.199772825552088,0.459876052094314,0.0672
HfPb2F8,mm2,33,oP44,FE_II,0.0096477875313212,0.217745897125073,0.341632681868695,0.0219
KTlF4,3,144,hP36,FE_II,0.0010704573851398,0.0554829714353488,0.148207686145481,0.0012
KYF4,3,144,hP36,FE_II,0.0014193557335602,0.0846349973306686,0.209469495045906,0.0052
BaLi2Al2F10,mm2,36,oS60,FE_II,0.055624236375479,0.293143670337846,0.42030970245609,0.1417
KNa2ZrF7,mm2,31,oP22,FE_II,0.0823227703258453,0.159769184726798,0.315781717395875,0.1023
K5ThF9,mm2,36,oS60,FE_II,0.0555098079594245,0.151107824301836,0.326667712562014,0.0593
RbTh3F13,mm2,26,oP34,FE_II,0.11390171667199,0.204687604392042,0.416699799415627,0.1218
Li3AlF6,mm2,33,oP40,FE_II,0.0712736382588445,0.313370539803776,0.415214854529553,0.1649
CaCrF5,m,9,mS28,WM,-4.25E-06,0.0012742022607135,0.0019883748055986,0
KY2F7,m,8,mS80,WM,2.87E-05,0.0006649846686569,0.0014910984295175,0
CsYb3F10,m,7,mP28,WM,-0.0133545057906303,0.0437599588830389,0.0807427796127353,0.0229
Sr4Zn3F14,m,8,hP21,WM,-5.60E-05,0.0005348580464025,0.0011007308262602,0
KCoF3,4mm,99,tP5,WM,-5.49E-07,0,0,0
YZrF7,2,4,mP18,WM,1.35E-05,0.0086753317115814,0.0225221500179467,0
Na3FeF6,2,44,mP20,WM,-2.39E-05,0.0003253281327892,0.00055955841365,0
Na2TiF6,2,5,hP27,WM,-4.23E-05,0.0026759771353414,0.0042572871534534,0
K2LiAlF6,3m,156,hP30,WM,2.61E-06,0.0003029810219185,0.0004873826871642,0
SrAlF5,4,79,tI112,WM,1.03E-05,0.00183767401166415,0.00375936616604162,0
K2YF5,mm2,33,oP32,WM,6.49E-07,7.61E-05,0.0001314317286077,0
KFeF4,mm2,31,oP48,WM,2.62E-05,0.0003049495562764,0.0005128954273023,0
NaMn3F10,mm2,43,oF112,WM,2.47E-05,0.0071803310019309,0.0254954754135661,0
Na2MgAlF7,mm2,44,oI44,WM,2.85E-05,0.0054362989855985,0.0158289809044312,0
MnAlF5,mm2,40,oS28,WM,6.40E-05,0.0003705556373887,0.0006500275223981,0
TlF,mm2,28,oP8,WM,1.64E-05,0.0006784569906751,0.0008430094982098,0
K2BeF4,mm2,33,oP28,WM,9.39E-07,0.0004547398375376,0.0006990328314832,0
K2FeF5,mm2,33,oP128,WM,-3.92E-06,0.0004124198639785,0.0008049797291264,0
RbTlF4,mm2,29,oP24,WM,6.76E-05,0.0005130756959327,0.0008646934499567,0.0001
KY2F7,mm2,33,oP80,WM,-7.99E-07,0.0004619755329371,0.0006656816297814,0
Na2UF6,3,143,hP18,WM,-0.0687598940721727,0.0070977844270224,0.0173066192285854,0.0005
