,crystal_class,compound,spacegroup,sg_nr,pearson_sym,polar,category,folder
0,m,CaCrF5,C c,9,mS28,TRUE,WM,WM/m_CaCrF5_mS28_SG9/polar
1,m,CaCrF5,C 2/c,15,mS28,FALSE,WM,WM/m_CaCrF5_mS28_SG9/centro
2,m,KY2F7,C m,8,mS80,TRUE,WM,WM/m_KY2F7_mS80_SG8/polar
3,m,KY2F7,C 2/m,12,mS80,FALSE,WM,WM/m_KY2F7_mS80_SG8/centro
4,m,BaFeCuF7,C c,9,mS40,TRUE,PE,PE/m_BaCuFeF7_mS40_SG9/polar
5,m,CsYb3F10,P c,7,mP28,TRUE,WM,WM/m_CsYb3F10_mP28_SG7/polar
6,m,CsYb3F10,P 2/c,13,mP28,FALSE,WM,WM/m_CsYb3F10_mP28_SG7/centro
7,m,Sr4Zn3F14,C m,8,mS42,TRUE,WM,WM/m_Sr4Zn3F14_mS42_SG8/polar
8,m,Sr4Zn3F14,P -6 2 m,189,hP21,FALSE,WM,WM/m_Sr4Zn3F14_mS42_SG8/centro
9,4mm,Al3Pb5F19,I 4 c m,108,tI108,TRUE,FE,FE/4mm_Pb5Al3F19_tI108_SG108/polar
10,4mm,Al3Pb5F19,I 4/m c m,140,tI108,FALSE,FE,FE/4mm_Pb5Al3F19_tI108_SG108/centro
11,4mm,LiFe2F6,P 42 n m,102,tP18,TRUE,FE,FE/4mm_LiFe2F6_tP18_SG102/polar
12,4mm,LiFe2F6,P 42/m n m,136,tP18,FALSE,FE,FE/4mm_LiFe2F6_tP18_SG102/centro
13,4mm,KCoF3,P 4 m m,99,tP5,TRUE,WM,WM/4mm_KCoF3_tP5_SG99/polar
14,4mm,KCoF3,P 4/m m m,123,tP5,FALSE,WM,WM/4mm_KCoF3_tP5_SG99/centro
15,2,Ba3Al2Cu2F16,P 21,4,mP46,TRUE,PE,PE/2_Ba3Al2Cu2F16_mP46_SG4/polar
16,2,K2Mn2Be3F12,P 21,4,mP152,TRUE,FE,FE/2_K2Mn2_BeF4_3_mP152_SG4/polar
17,2,K2Mn2Be3F12,P 21 21 21,19,oP76,FALSE,FE,FE/2_K2Mn2_BeF4_3_mP152_SG4/centro
18,2,YZrF7,P 21,4,mP18,TRUE,WM,WM/2_YZrF7_mP18_SG4/polar
19,2,YZrF7,P 21/m,11,mP18,FALSE,WM,WM/2_YZrF7_mP18_SG4/centro
20,2,Rb2NaAl6F21,C 2,5,mS60,TRUE,FE,FE/2_Rb2NaAl6F21_mS60_SG5/polar
21,2,Rb2NaAl6F21,R -3 m,166,hR90,FALSE,FE,FE/2_Rb2NaAl6F21_mS60_SG5/centro
22,2,Na3FeF6,P 21,4,mP20,TRUE,WM,WM/2_Na3FeF6_mP20_SG4/polar
23,2,Na3FeF6,P 21/c,14,mP20,FALSE,WM,WM/2_Na3FeF6_mP20_SG4/centro
24,2,Na2TiF6,C 2,5,mS54,TRUE,WM,WM/2_Na2TiF6_mS54_SG5/polar
25,2,Na2TiF6,P 3 2 1,150,hP27,FALSE,WM,WM/2_Na2TiF6_mS54_SG5/centro
26,2,Mn3F8,P 21,4,mP22,TRUE,FE,FE/2_Mn3F8_mP22_SG4/polar
27,2,Mn3F8,P 21/c,14,mP22,FALSE,FE,FE/2_Mn3F8_mP22_SG4/centro
28,2,Rb5Zr4F21,P 21,4,mP60,TRUE,PE,PE/2_Rb5Zr4F21_mP60_SG4/polar
29,4,Sr3Fe2F12,I 41,80,tI408,TRUE,WM,WM/4_Sr3Fe2F12_tI408_SG80/polar
30,4,SrAlF5,I 4,79,tI112,TRUE,WM,WM/4_SrAlF5_tI112_SG79/polar
